"2024 SEASON SCHEDULE"
"IPLT20.COM"
"MATCH            MATCH"
"DATE          DAY         TIME                       HOME                                        AWAY                     STADIUM"
"NO               DAY"
"47                39       29-Apr-24        Mon        7:30PM     Kolkata Knight Riders                     Delhi Capitals                          Kolkata"
"48                40       30-Apr-24        Tue        7:30PM     Lucknow Super Giants                      Mumbai Indians                          Lucknow"
"49                41       01-May-24        Wed        7:30PM     Chennai Super Kings                       Punjab Kings                            Chennai"
"50                42       02-May-24        Thu        7:30PM     Sunrisers Hyderabad                       Rajasthan Royals                        Hyderabad"
"51                43       03-May-24         Fri       7:30PM     Mumbai Indians                            Kolkata Knight Riders                   Mumbai"
"52                44       04-May-24        Sat        7:30PM     Royal Challengers Bengaluru               Gujarat Titans                          Bengaluru"
"53                45       05-May-24        Sun        3:30PM     Punjab Kings                              Chennai Super Kings                     Dharamshala"
"54                45       05-May-24        Sun        7:30PM     Lucknow Super Giants                      Kolkata Knight Riders                   Lucknow"
"55                46       06-May-24        Mon        7:30PM     Mumbai Indians                            Sunrisers Hyderabad                     Mumbai"
"56                47       07-May-24        Tue        7:30PM     Delhi Capitals                            Rajasthan Royals                        Delhi"
"57                48       08-May-24        Wed        7:30PM     Sunrisers Hyderabad                       Lucknow Super Giants                    Hyderabad"
"58                49       09-May-24        Thu        7:30PM     Punjab Kings                              Royal Challengers Bengaluru             Dharamshala"
"59                50       10-May-24         Fri       7:30PM     Gujarat Titans                            Chennai Super Kings                     Ahmedabad"
"60                51       11-May-24        Sat        7:30PM     Kolkata Knight Riders                     Mumbai Indians                          Kolkata"
"61                52       12-May-24        Sun        3:30PM     Chennai Super Kings                       Rajasthan Royals                        Chennai"
"62                52       12-May-24        Sun        7:30PM     Royal Challengers Bengaluru               Delhi Capitals                          Bengaluru"
"63                53       13-May-24        Mon        7:30PM     Gujarat Titans                            Kolkata Knight Riders                   Ahmedabad"
"64                54       14-May-24        Tue        7:30PM     Delhi Capitals                            Lucknow Super Giants                    Delhi"
"65                55       15-May-24        Wed        7:30PM     Rajasthan Royals                          Punjab Kings                            Guwaha�"
"66                56       16-May-24        Thu        7:30PM     Sunrisers Hyderabad                       Gujarat Titans                          Hyderabad"
"67                57       17-May-24         Fri       7:30PM     Mumbai Indians                            Lucknow Super Giants                    Mumbai"
"68                58       18-May-24        Sat        7:30PM     Royal Challengers Bengaluru               Chennai Super Kings                     Bengaluru"
"69                59       19-May-24        Sun        3:30PM     Sunrisers Hyderabad                       Punjab Kings                            Hyderabad"
"70                59       19-May-24        Sun        7:30PM     Rajasthan Royals                          Kolkata Knight Riders                   Guwaha�"
"60       20-May-24        Mon                                                       Break Day"
"71                61       21-May-24        Tue        7:30PM                                         Qualiﬁer 1                                    Ahmedabad"
"72                62       22-May-24        Wed        7:30PM                                         Eliminator                                    Ahmedabad"
"63       23-May-24        Thu                                                       Break Day"
"73                64       24-May-24         Fri       7:30PM                                         Qualiﬁer 2                                    Chennai"
"65       25-May-24        Sat                                                       Break Day"
"74                66       26-May-24        Sun        7:30PM                                            FINAL                                      Chennai"
""
""
""
""
"TITLE SPONSOR                                         ASSOCIATE PARTNER                                       OFFICIAL STRATEGIC      OFFICIAL       OFFICIAL DIGITAL"
"TIMEOUT PARTNER       BROADCASTER    STREAMING PARTNER"
""
""
""
""
"Please note that this schedule may be subject to change for any reason as may be required in the sole discretion of BCCI"
""
